这个台灯亮度可以调吗？	Product-Query
这个锅是有涂层的不粘锅吗？	Product-Query
请问，支持货到付款吗？	Payment
我想问一下，物流单号在哪里看？	Logistics-Query
配件坏了能单独买吗？	After-Sale
麻烦问一下，优惠券怎么使用？	Promotion
我的快递到站点了吗？	Logistics-Query
麻烦问一下，这个包包是牛皮的还是PU的？	Product-Query
我下了两单能合并吗？	Order-Query
帮我查一下有没有下单成功？	Order-Query
包裹到哪个城市了？	Logistics-Query
早上好？	Other
请问，包裹在运输中还要多久？	Logistics-Query
商品不喜欢可以退吗？	Return-Refund
保修需要发票吗？	After-Sale
包裹丢了怎么办？	Logistics-Query
发票抬头怎么改？	Payment
发票什么时候开？	Payment
我想问一下，保修需要发票吗？	After-Sale
我想问一下，物流一直不更新怎么回事？	Logistics-Query
知道了？	Other
这个行李箱有多重？	Product-Query
麻烦问一下，物流显示已签收但我没收到？	Logistics-Query
我想问一下，这款口红专柜价多少？	Price-Query
请问，这个商品现在有货吗？	Product-Query
优惠活动到什么时候？	Promotion
快递发的是什么公司？	Logistics-Query
什么时候能签收？	Logistics-Query
我要人工处理订单？	Human-Service
会员价是多少？	Price-Query
下单后多久能发货？	Order-Query
你好，有没有蓝色的XL码？	Product-Query
这款笔记本内存多大？	Product-Query
这款口红专柜价多少？	Price-Query
麻烦问一下，帮我叫个人工来？	Human-Service
请问，我要找人工？	Human-Service
麻烦问一下，售后网点在哪里？	After-Sale
退货流程要多久？	Return-Refund
麻烦问一下，随便聊聊？	Other
快递放驿站了怎么取？	Logistics-Query
我的包裹怎么还没到？	Logistics-Query
请问，这件外套是什么材质？	Product-Query
这个商品打几折？	Price-Query
积分能抵扣吗？	Promotion
换货要重新付运费吗？	Return-Refund
售后需要提供什么凭证？	After-Sale
快递超区了怎么办？	Logistics-Query
人工客服几点上班？	Human-Service
这个商品涨价了吗？	Price-Query
支付限额怎么解决？	Payment
你好，人工客服几点上班？	Human-Service
请问，帮我查一下订单状态？	Order-Query
请问，售后需要提供什么凭证？	After-Sale
麻烦问一下，怎么参加抽奖活动？	Promotion
这个商品的产地是哪里？	Product-Query
这件外套多少钱？	Price-Query
我想问一下，我的快递到站点了吗？	Logistics-Query
换货后的商品还有保修吗？	After-Sale
我想问一下，今天天气怎么样？	Other
有人工客服吗？	Human-Service
麻烦问一下，我要取消这个订单？	Order-Query
你好，快递能转寄到别的地址吗？	Logistics-Query
重复扣款了怎么办？	Payment
有没有优惠券可以用？	Promotion
你好，预售订单什么时候发货？	Order-Query
你好，拜拜？	Other
这个订单能拆开发货吗？	Order-Query
转人工？	Human-Service
我想问一下，商品不喜欢可以退吗？	Return-Refund
请问，我要投诉找人工？	Human-Service
能帮我查一下物流进度吗？	Logistics-Query
你好，这个订单什么时候发货？	Order-Query
麻烦问一下，付完款还要加钱吗？	Price-Query
这个有质保吗？	After-Sale
预售订单什么时候发货？	Order-Query
嗯嗯？	Other
你好，用了几天就坏了能换吗？	After-Sale
现在下单有什么赠品？	Promotion
怎么领取新人券？	Promotion
你好，谢谢啦？	Other
有没有真人客服？	Human-Service
请问，这个有质保吗？	After-Sale
我想问一下，重复扣款了怎么办？	Payment
退款被拒绝了怎么办？	Return-Refund
付完款还要加钱吗？	Price-Query
请问，能改配送时间吗？	Logistics-Query
会员有折扣吗？	Promotion
我想问一下，收到货不满意能退吗？	Return-Refund
我想问一下，付款一直转圈怎么回事？	Payment
这个订单什么时候发货？	Order-Query
商品坏了能保修吗？	After-Sale
我想问一下，能领优惠券吗？	Promotion
支持货到付款吗？	Payment
你好，退货需要保留包装吗？	Return-Refund
请问，这个台灯亮度可以调吗？	Product-Query
付款一直转圈怎么回事？	Payment
请问，人工客服在线吗？	Human-Service
我想问一下，收到货有质量问题怎么办？	After-Sale
这个商品原价是多少？	Price-Query
退款金额怎么算？	Return-Refund
订单状态为什么一直待付款？	Order-Query
订单显示已发货是真的吗？	Order-Query
厉害了？	Other
你好，这个能便宜二十块吗？	Price-Query
我想问一下，这个床单是纯棉的吗？	Product-Query
怎么取消退款申请？	Return-Refund
我想问一下，退款多久能到账？	Return-Refund
这个比别家贵吗？	Price-Query
退货地址是什么？	Return-Refund
麻烦问一下，机器人听不懂转人工？	Human-Service
买的衣服大了能换小一码吗？	Return-Refund
我想问一下，这款鞋多少钱一双？	Price-Query
这个商品现在有货吗？	Product-Query
请问，保修是免费的吗？	After-Sale
麻烦问一下，保修期是多久？	After-Sale
你好，优惠活动到什么时候？	Promotion
请问，现在买划算吗？	Price-Query
你好，这个手机存储空间多大？	Product-Query
两个一起买有优惠价吗？	Price-Query
怎么申请换货？	Return-Refund
麻烦问一下，收到货少了一件怎么办？	Logistics-Query
你好，过了保修期还能修吗？	After-Sale
我想问一下，有没有直播专属优惠？	Promotion
麻烦问一下，信用卡可以支付吗？	Payment
请问，摔坏了能保修吗？	After-Sale
请问，买的衣服大了能换小一码吗？	Return-Refund
你好，这款电脑最低多少钱？	Price-Query
双十一有优惠吗？	Promotion
帮我叫个人工来？	Human-Service
请问，这款手表防水吗？	Product-Query
支付宝可以用吗？	Payment
商品开不了机怎么办？	After-Sale
为什么不能支付？	Payment
麻烦问一下，配件坏了能单独买吗？	After-Sale
退货的运费谁出？	Return-Refund
你好，我的快递单号是多少？	Logistics-Query
请问，优惠券过期了还能用吗？	Promotion
能改配送时间吗？	Logistics-Query
请问，快递超区了怎么办？	Logistics-Query
这款洗衣机的容量是多少？	Product-Query
这个包贵不贵？	Price-Query
这款电脑最低多少钱？	Price-Query
物流单号在哪里看？	Logistics-Query
这款路由器支持5G吗？	Product-Query
物流显示已签收但我没收到？	Logistics-Query
人工服务？	Human-Service
